Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap5_72704,Arhgap5,436.309,1.27E-03,-1.0227,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgef12_77345,Arhgef12,717.075,1.16E-03,-0.7710,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgef12_78454,Arhgef12,326.416,2.76E-03,-0.6666,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgef9_70347,Arhgef9,119.664,4.39E-02,-0.6372,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arid5b_31689,Arid5b,14.286,9.32E-02,0.9329,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arl1_73267,Arl1,220.355,7.02E-02,-0.6094,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arl2bp_66093,Arl2bp,702.731,3.51E-03,-0.8432,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arl5a_68015,Arl5a,1064.942,4.28E-03,-0.7427,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arl5b_72196,Arl5b,116.797,1.51E-02,-0.6274,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Armcx1_29986,Armcx1,192.214,2.94E-03,-0.9649,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Armt1_77271,Armt1,94.588,7.37E-02,-0.7172,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arntl_59197,Arntl,43.494,7.11E-03,-1.7111,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arpc1a_66182,Arpc1a,119.378,7.09E-03,0.6807,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arpc5l_79957,Arpc5l,575.217,5.05E-02,-0.6565,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arsb_80032,Arsb,178.851,2.29E-02,-0.7163,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Art1_56953,Art1,494.811,1.81E-03,2.6081,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asah1_29127,Asah1,326.775,1.53E-02,-0.6016,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asah2_61441,Asah2,141.712,1.53E-02,-0.7919,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asb14_64164,Asb14,629.531,8.37E-02,-0.7853,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asb2_75471,Asb2,917.808,1.37E-02,1.1629,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asb6_72606,Asb6,87.067,1.48E-02,0.6428,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asb7_54721,Asb7,96.653,6.37E-04,-0.9465,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Asf1a_57109,Asf1a,101.119,9.26E-03,-0.8241,Yes,No,No
